the_geom,STREETNAME,TYPE,CNN,FROM_ST,TO_ST,FACILITY_T,YEAR_INSTA,DIRECT,SHAPE_LENG,SURFACE_TR,BARRIER,INNOVATIVE,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,SHARROW,UPDATE_YR,SM_SWEEPER,CONTRAFLOW,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,SHAPE_LEN
"LINESTRING (-122.41133018059499 37.76425158703029, -122.41229339622997 37.76419337588255)",17TH,ST,789000,FLORIDA ST,ALABAMA ST,BIKE LANE,2012,2W,279.23595747,,,BUFFERED BIKE LANE,,,1,0,0,17th St,0.05,40,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.235957466
"LINESTRING (-122.40741973743874 37.76448782951771, -122.40842398733217 37.764427171892805)",17TH,ST,786000,POTRERO AV,HAMPSHIRE ST,BIKE LANE,2012,2W,291.12993979,,,,,,1,0,0,17th St,0.06,33,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,291.129939784
"LINESTRING (-122.41204726587243 37.75423033112427, -122.41189982165885 37.752628589943946)",HARRISON,ST,6756000,23RD ST,24TH ST,BIKE LANE,0,2W,584.78146213,,,,,,1,0,0,Harrison St,0.11,44,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,584.781462131
"LINESTRING (-122.41219789240739 37.75583251131562, -122.41329404837218 37.75576591468101)",22ND,ST,1185000,HARRISON ST,TREAT AV,BIKE ROUTE,2010,2W,317.82087752,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,317.820877516
"LINESTRING (-122.41329404837218 37.75576591468101, -122.41438760136705 37.75569946455644)",22ND,ST,1186000,TREAT AV,FOLSOM ST,BIKE ROUTE,2010,2W,317.06677444,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,317.066774442
"LINESTRING (-122.42545718011574 37.755029079094875, -122.42663400783228 37.754962268353154)",22ND,ST,1199000,DOLORES ST,CHATTANOOGA ST,BIKE ROUTE,2010,2W,341.08864893,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,341.088648917
"LINESTRING (-122.41438760136705 37.75569946455644, -122.41547327494038 37.755634108337794)",22ND,ST,1187000,FOLSOM ST,SHOTWELL ST,BIKE ROUTE,2010,2W,314.76546545,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,314.765465441
"LINESTRING (-122.41547327494038 37.755634108337794, -122.41656664078371 37.75556827813659)",22ND,ST,1188000,SHOTWELL ST,SOUTH VAN NESS AV,BIKE ROUTE,2010,2W,316.9962366,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,316.99623661
"LINESTRING (-122.42096409253337 37.75529478187754, -122.42143524683651 37.75526822258043)",22ND,ST,1193000,VALENCIA ST,SAN JOSE AV,BIKE ROUTE,2010,2W,136.55270919,,,,,,1,0,0,22nd St,0.03,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,136.552709194
"LINESTRING (-122.42143524683651 37.75526822258043, -122.42318100015694 37.755169794050026)",22ND,ST,1194000,SAN JOSE AV,GUERRERO ST,BIKE ROUTE,2010,2W,505.9654059,,,,,,1,0,0,22nd St,0.1,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,505.965405898
