the_geom,STREETNAME,TYPE,CNN,FROM_ST,TO_ST,FACILITY_T,YEAR_INSTA,DIRECT,SHAPE_LENG,SURFACE_TR,BARRIER,INNOVATIVE,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,SHARROW,UPDATE_YR,SM_SWEEPER,CONTRAFLOW,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,SHAPE_LEN
"LINESTRING (-122.3916341355079 37.77432755078522, -122.39157646352207 37.77415200898353, -122.39152630399795 37.77397501912583, -122.39148371089311 37.77379678493008, -122.39144873473583 37.77361750926679, -122.39143433539678 37.773466921566)",4TH,ST,19981000,CHANNEL ST,LONG BRIDGE ST,BIKE ROUTE,2011,2W,319.21455666,,,,,,1,0,0,4th St,0.06,19,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,319.214556666
"LINESTRING (-122.39143433539678 37.773466921566, -122.39137353233207 37.772830995219735)",4TH,ST,19982000,LONG BRIDGE ST,MISSION ROCK ST,BIKE LANE,2011,2W,232.2201322,,,,,,1,0,0,4th St,0.04,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,232.220132202
"LINESTRING (-122.39137353233207 37.772830995219735, -122.39128424800653 37.771897176720664)",4TH,ST,19983000,MISSION ROCK ST,CHINA BASIN ST,BIKE LANE,2011,2W,341.00084535,,,,,,1,0,0,4th St,0.06,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,341.000845346
"LINESTRING (-122.39128424800653 37.771897176720664, -122.39119934815182 37.77100919184933)",4TH,ST,19984000,CHINA BASIN ST,MISSION BAY BLVD,BIKE LANE,2011,2W,324.26378312,,,,,,1,0,0,4th St,0.06,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,324.26378312
"LINESTRING (-122.39119934815182 37.77100919184933, -122.39115601759197 37.770555976051206)",4TH,ST,19985000,MISSION BAY BLVD,MISSION BAY BLVD,BIKE LANE,2011,2W,165.49993233,,,,,,1,0,0,4th St,0.03,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,165.499932327
"LINESTRING (-122.39115601759197 37.770555976051206, -122.39107040774198 37.76966054027687)",4TH,ST,19986000,MISSION BAY BLVD,NELSON RISING LN,BIKE LANE,2011,2W,326.98452028,,,,,,1,0,0,4th St,0.06,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,326.984520276
"LINESTRING (-122.39107040774198 37.76966054027687, -122.39098039591478 37.76871902745094)",4TH,ST,19987000,NELSON RISING LN,GENE FRIEND WY,BIKE LANE,2011,2W,343.81028339,,,,,,1,0,0,4th St,0.07,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.810283386
"LINESTRING (-122.39098039591478 37.76871902745094, -122.39089041456968 37.76777781945953)",4TH,ST,19988000,GENE FRIEND WY,CAMPUS WY,BIKE LANE,2011,2W,343.6989068,,,,,,1,0,0,4th St,0.07,33,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.698906809
"LINESTRING (-122.39089041456968 37.76777781945953, -122.39079716920703 37.76680244187795)",4TH,ST,19989000,CAMPUS WY,16TH ST,BIKE LANE,2011,2W,356.17645148,,,,,,1,0,0,4th St,0.07,33,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,356.176451482
"LINESTRING (-122.41484189175759 37.76049887231664, -122.41469003061493 37.75889598938516)",FOLSOM,ST,5694000,19TH ST,20TH ST,BIKE LANE,2013,2W,585.29084195,,,,,,1,2014,0,Folsom St,0.11,33,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,585.290841953
"LINESTRING (-122.41469003061493 37.75889598938516, -122.4145414679077 37.75729764405125)",FOLSOM,ST,5695000,20TH ST,21ST ST,BIKE LANE,2013,2W,583.57223956,,,,,,1,2014,0,Folsom St,0.11,33,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,583.572239572
"LINESTRING (-122.4145414679077 37.75729764405125, -122.41438760136705 37.75569946455644)",FOLSOM,ST,5696000,21ST ST,22ND ST,BIKE LANE,2013,2W,583.62678609,,,,,,1,2014,0,Folsom St,0.11,33,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,583.626786088
"LINESTRING (-122.41438760136705 37.75569946455644, -122.41423350930633 37.75409888283827)",FOLSOM,ST,5697000,22ND ST,23RD ST,BIKE LANE,2013,2W,584.50382226,,,,,,1,2014,0,Folsom St,0.11,51,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,584.503822264
"LINESTRING (-122.41423350930633 37.75409888283827, -122.41408603126482 37.752506065320006)",FOLSOM,ST,5698000,23RD ST,24TH ST,BIKE LANE,2013,2W,581.54158153,,,,,,1,2014,0,Folsom St,0.11,525,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,581.541581533
"LINESTRING (-122.44111041739143 37.774567482931886, -122.44092179243532 37.77363529630841)",BAKER,ST,2607000,FELL ST,HAYES ST,BIKE LANE,0,2W,343.77915103,,,,,,1,0,0,Baker St,0.07,65,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.779151031
"LINESTRING (-122.41868358994645 37.775586568889445, -122.41710413586179 37.77432528762037)",11TH,ST,508000,MARKET ST,MISSION ST,BIKE ROUTE,2003,1W,647.53995182,,,,,SE,1,0,0,11th St,0.12,65,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,647.539951824
"LINESTRING (-122.46391189070987 37.76040534451828, -122.4637815280888 37.75853818195921)",7TH,AVE,362000,KIRKHAM ST,LAWTON ST,BIKE LANE,2010,2W,680.91533285,,,,,S,1,0,0,7th Ave,0.13,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,680.915332865
"LINESTRING (-122.47137305013915 37.7750275801395, -122.47190510316118 37.775003336288094)",CABRILLO,ST,3479000,FUNSTON AV,PARK PRESIDIO BLVD,BIKE ROUTE,2000,2W,154.02786413,,,,,,1,0,0,Cabrillo St,0.03,20,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,154.027864121
"LINESTRING (-122.47190510316118 37.775003336288094, -122.47243450217974 37.77497921013938)",CABRILLO,ST,3480000,PARK PRESIDIO BLVD,14TH AV,BIKE ROUTE,2003,2W,153.25965469,,,,,,1,0,0,Cabrillo St,0.03,20,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,153.259654692
"LINESTRING (-122.40688239974929 37.76929855742814, -122.40800720355607 37.769244010181765)",DIVISION,ST,4845000,UTAH ST,10TH ST,BIKE LANE,2010,2W,325.72358883,,,BUFFERED BIKE LANE,,W,1,0,0,Division St,0.06,36,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,325.723588834
"LINESTRING (-122.40621336345703 37.76946254545743, -122.4063977504979 37.76937098667728, -122.40672469336121 37.76930693668467, -122.40688239974929 37.76929855742814)",DIVISION,ST,4844000,9TH ST,UTAH ST,BIKE LANE,2010,2W,205.88610767,,,,,W,1,0,0,Division St,0.04,36,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,205.886107665
"LINESTRING (-122.4059392040564 37.76965901052328, -122.40621336345703 37.76946254545743)",DIVISION,ST,4843000,SAN BRUNO AV,9TH ST,BIKE LANE,2000,2W,106.75728323,,,,,W,1,0,0,Division St,0.02,25,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,106.757283228
"LINESTRING (-122.40800720355607 37.769244010181765, -122.40855135768417 37.76925218892183, -122.40925795328754 37.769220623006525, -122.40954043055154 37.76923505581647, -122.41075618389176 37.76942234188527, -122.41093108800975 37.76941119107992)",DIVISION,ST,4846201,POTRERO AV,11TH ST,BIKE LANE,2010,2W,852.36920066,,SAFE-HIT POSTS,SEPARATED BIKEWAY,,,1,0,0,Division St,0.16,25,0,0,1,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,852.369200664
"LINESTRING (-122.41813856919805 37.777970663462845, -122.41822658172819 37.778489117114056)",POLK,ST,10548000,LECH WALESA ST,GROVE ST,BIKE LANE,2002,1W,190.48604238,GREEN PAINT,,,,S,1,2014,4,Polk St,0.04,95,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,190.486042384
"LINESTRING (-122.41804316665808 37.77751171111604, -122.41813856919805 37.777970663462845)",POLK,ST,10547000,HAYES ST,LECH WALESA ST,BIKE LANE,2000,1W,169.37369604,GREEN PAINT,,,,S,1,2014,4,Polk St,0.03,95,0,2014,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,169.373696038
"LINESTRING (-122.48414610085254 37.7876648732589, -122.48528346164565 37.78761183808465)",EL CAMINO DEL MAR,,5120000,LINCOLN BLVD,25TH AV,BIKE LANE,2002,2W,329.2325469,,,,,W,1,0,0,El Camino Del Mar,0.06,95,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,329.232546905
"LINESTRING (-122.48528346164565 37.78761183808465, -122.48635895733739 37.78756170152444)",EL CAMINO DEL MAR,,5121000,25TH AV,26TH AV,BIKE LANE,1996,2W,311.32433683,,,,,W,1,0,0,El Camino Del Mar,0.06,95,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,311.32433683
"LINESTRING (-122.48635895733739 37.78756170152444, -122.48742175893807 37.78751214762089)",EL CAMINO DEL MAR,,5122000,26TH AV,27TH AV,BIKE LANE,1997,2W,307.65017142,,,,,W,1,0,0,El Camino Del Mar,0.06,4,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,307.650171429
"LINESTRING (-122.48742175893807 37.78751214762089, -122.48780451576853 37.78749091953871, -122.48811489986613 37.78752722028026, -122.48842669798191 37.78761635885946)",EL CAMINO DEL MAR,,5123000,27TH AV,28TH AV,BIKE LANE,1997,2W,297.30623655,,,,,W,1,0,0,El Camino Del Mar,0.06,4,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,297.306236542
"LINESTRING (-122.42327496182794 37.80341263965992, -122.42491880397183 37.80320550760094)",FRANCISCO,ST,5770000,POLK ST,VAN NESS AV,BIKE ROUTE,2004,1W,480.87599328,,,,,W,1,0,0,Francisco St,0.09,4,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,480.875993276
"LINESTRING (-122.42491880397183 37.80320550760094, -122.42656520121896 37.80299803045524)",FRANCISCO,ST,5771000,VAN NESS AV,FRANKLIN ST,BIKE ROUTE,2000,1W,481.62607421,,,,,W,1,0,0,Francisco St,0.09,4,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.626074209
"LINESTRING (-122.42656520121896 37.80299803045524, -122.42821030655561 37.80279069098115)",FRANCISCO,ST,5772000,FRANKLIN ST,GOUGH ST,BIKE ROUTE,2000,1W,481.25089363,,,,,W,1,0,0,Francisco St,0.09,30,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.250893629
"LINESTRING (-122.42821030655561 37.80279069098115, -122.42985540386337 37.8025833294358)",FRANCISCO,ST,5773000,GOUGH ST,OCTAVIA ST,BIKE ROUTE,2000,1W,481.25117385,,,,,W,1,0,0,Francisco St,0.09,30,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.251173856
"LINESTRING (-122.42034436835203 37.771770249892434, -122.42052855121 37.771714957927784, -122.42111007334596 37.77168007419743)",MC COPPIN,ST,8914000,OTIS ST,JESSIE ST,BIKE ROUTE,2011,2W,225.47406732,,,,,E,1,0,0,Mc Coppin St,0.04,98,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,225.474067304
"LINESTRING (-122.42174766522892 37.7716418231123, -122.42252634402618 37.77159510331243)",MC COPPIN,ST,8916000,STEVENSON ST,VALENCIA ST,BIKE ROUTE,2011,2W,225.70709844,,,,,E,1,0,0,Mc Coppin St,0.04,98,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,225.707098432
"LINESTRING (-122.45581573833782 37.71122285342762, -122.45603759773181 37.71140796513666)",PLYMOUTH,AVE,10511000,SAN JOSE AV,SAGAMORE ST,BIKE LANE,1999,2W,93.06868495,,,,,,1,0,0,Plymouth Ave,0.02,98,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,93.0686849548
"LINESTRING (-122.45488512552265 37.71047855350076, -122.45581573833782 37.71122285342762)",SICKLES,AVE,11871000,UNNAMED #28,SAN JOSE AV,BIKE LANE,2011,2W,381.98957801,,,,,,1,0,0,Sickles Ave,0.07,90,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,381.989578001
"LINESTRING (-122.45603759773181 37.71140796513666, -122.45900546804292 37.71138732986703)",SAGAMORE,ST,11281000,PLYMOUTH AV,CAPITOL AV,BIKE LANE,2004,2W,858.54540806,,,,,W,1,0,0,Sagamore St,0.16,770,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,858.545408059
"LINESTRING (-122.43943847187359 37.715672554682754, -122.43862415660483 37.71530733311075)",GENEVA,AVE,6140101,PARIS ST,LISBON ST,BIKE LANE,2003,2W,270.49064617,,,,,W,1,0,0,Geneva Ave,0.05,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,270.490646167
"LINESTRING (-122.45111256027279 37.72835755064184, -122.45183179609592 37.728351714746836, -122.45232786821754 37.7283034929502)",JUDSON,AVE,7690000,GENNESSEE ST,PHELAN AV,BIKE LANE,2011,2W,352.55197282,,,,,W,1,0,0,Judson Ave,0.07,20,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,352.551972815
"LINESTRING (-122.41474122191016 37.77871942974254, -122.41496989254937 37.7788619162035, -122.41658034358628 37.77865785583078)",GROVE,ST,6552000,HYDE ST,LARKIN ST,BIKE ROUTE,2001,2W,555.34466962,,,,,W,1,0,0,Grove St,0.11,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,555.344669604
"LINESTRING (-122.41658034358628 37.77865785583078, -122.41676552371614 37.77867515319577, -122.41822658172819 37.778489117114056)",GROVE,ST,6553000,LARKIN ST,POLK ST,BIKE ROUTE,2002,2W,481.54341056,,,,,W,1,0,0,Grove St,0.09,25,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.543410569
"LINESTRING (-122.41822658172819 37.778489117114056, -122.419672474209 37.77830499322324, -122.41988323052685 37.778251017351884)",GROVE,ST,6554000,POLK ST,VAN NESS AV,BIKE ROUTE,2004,2W,487.22152948,,,,,W,1,0,0,Grove St,0.09,25,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,487.221529478
"LINESTRING (-122.42346605310318 37.804354924773264, -122.42365507488338 37.805286984737116)",POLK,ST,10586000,BAY ST,NORTH POINT ST,BIKE ROUTE,1998,2W,343.75010603,,,,,N,1,0,0,Polk St,0.07,25,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.750106039
"LINESTRING (-122.42327496182794 37.80341263965992, -122.42346605310318 37.804354924773264)",POLK,ST,10585000,FRANCISCO ST,BAY ST,BIKE ROUTE,2000,2W,347.52107163,,,,,N,1,0,0,Polk St,0.07,25,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,347.521071633
"LINESTRING (-122.42308780534594 37.80248973727283, -122.42327496182794 37.80341263965992)",POLK,ST,10584000,CHESTNUT ST,FRANCISCO ST,BIKE ROUTE,1999,2W,340.37245603,,,,,N,1,0,0,Polk St,0.06,50,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,340.372456026
"LINESTRING (-122.42405653390934 37.77387524894885, -122.42570020978441 37.77366622956871)",PAGE,ST,10171000,OCTAVIA ST,LAGUNA ST,BIKE ROUTE,2006,2W,481.12328563,,,,,W,0,16,3,Page St,0.09,32,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.123285628
"LINESTRING (-122.39279193460074 37.725603776965535, -122.39335876133732 37.72497357120424)",KEITH,ST,7793000,BANCROFT AV,CARROLL AV,BIKE ROUTE,2010,2W,282.01200845,,,,,,1,0,0,Keith St,0.05,805,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,282.012008465
"LINESTRING (-122.39335876133732 37.72497357120424, -122.39424349308091 37.72547565032606)",CARROLL,AVE,3738000,KEITH ST,3RD ST,BIKE ROUTE,2010,2W,314.47601759,,,,,,1,0,0,Carroll Ave,0.06,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,314.476017589
"LINESTRING (-122.37999185764792 37.72778541382145, -122.38156441505284 37.72867801280328)",PALOU,AVE,10217000,CRISP RD,HAWES ST,BIKE ROUTE,2010,2W,558.98617029,,,,,,1,0,0,Palou Ave,0.11,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,558.986170295
"LINESTRING (-122.38716651243409 37.73185747048409, -122.38772939003297 37.73123178852218)",KEITH,ST,7783000,PALOU AV,QUESADA AV,BIKE ROUTE,2010,2W,279.99999576,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.999995755
"LINESTRING (-122.38772939003297 37.73123178852218, -122.3882922581554 37.73060610380731)",KEITH,ST,7784000,QUESADA AV,REVERE AV,BIKE ROUTE,2010,2W,279.99999575,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.999995755
"LINESTRING (-122.3882922581554 37.73060610380731, -122.38885511677871 37.72998041543868)",KEITH,ST,7785000,REVERE AV,SHAFTER AV,BIKE ROUTE,2010,2W,280.0002588,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,280.0002588
"LINESTRING (-122.38885511677871 37.72998041543868, -122.38941872073377 37.729353885794886)",KEITH,ST,7786000,SHAFTER AV,THOMAS AV,BIKE ROUTE,2010,2W,280.3755874,,,,,,1,0,0,Keith St,0.05,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,280.375587405
"LINESTRING (-122.38156441505284 37.72867801280328, -122.38343118381576 37.729737552971976)",PALOU,AVE,10218000,HAWES ST,INGALLS ST,BIKE ROUTE,2010,2W,663.54985855,,,,,,1,0,0,Palou Ave,0.13,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,663.549858546
"LINESTRING (-122.38343118381576 37.729737552971976, -122.3852869949437 37.73079081479873)",PALOU,AVE,10219000,INGALLS ST,JENNINGS ST,BIKE ROUTE,2010,2W,659.63626665,,,,,,1,0,0,Palou Ave,0.12,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,659.636266659
"LINESTRING (-122.3852869949437 37.73079081479873, -122.38716651243409 37.73185747048409)",PALOU,AVE,10220000,JENNINGS ST,KEITH ST,BIKE ROUTE,2010,2W,668.04343809,,,,,,1,0,0,Palou Ave,0.13,68,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,668.043438085
"LINESTRING (-122.37200569748066 37.72987387505012, -122.37389036514931 37.730936071134686)",INNES,AVE,7253000,EARL ST,FITCH ST,BIKE ROUTE,0,2W,668.32022665,,,,,,1,0,0,Innes Ave,0.13,70,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,668.320226652
"LINESTRING (-122.36981739412575 37.72917407812442, -122.3699397481883 37.72908074669446, -122.37047756617227 37.729033547044764, -122.37054481736536 37.72906167956104, -122.37200569748066 37.72987387505012)",INNES,AVE,19397000,DONAHUE ST,EARL ST,BIKE ROUTE,0,2W,743.23215434,,,,,,1,0,0,Innes Ave,0.14,10,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,743.232154342
"LINESTRING (-122.39869570216892 37.79888096711088, -122.39987345836923 37.79872900135371)",BROADWAY,ST,3143000,DAVIS ST,FRONT ST,BIKE ROUTE,2005,2W,344.75727918,,,,,,1,0,0,Broadway,0.07,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,344.757279188
"LINESTRING (-122.39728541572691 37.749684622915076, -122.40206163442372 37.74939667929315)",CESAR CHAVEZ,ST,2477000,EVANS AV,KANSAS ST,BIKE LANE,2012,2W,1384.87715475,GREEN PAINT,SAFE-HIT POSTS,SEPARATED BIKEWAY,,,1,0,0,Cesar Chavez St,0.26,55,0,0,1,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,1384.87715474
"LINESTRING (-122.40356100989138 37.74776192185862, -122.40359177117257 37.74720516677076)",BAYSHORE,BLVD,2799103,JERROLD AV,JERROLD AV,BIKE ROUTE,0,2W,202.92038421,,,,,,1,0,0,Bay Shore Blvd,0.04,50,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,202.9203842
"LINESTRING (-122.400067227803 37.79030385892034, -122.4013754912434 37.78926432247093)",MARKET,ST,8742203,SUTTER ST,2ND ST,BIKE ROUTE,2006,2W,534.96824504,,,,,,1,0,0,Market St,0.1,50,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,534.968245042
"LINESTRING (-122.4013754912434 37.78926432247093, -122.40206572948273 37.78872115233002)",MARKET,ST,8743201,2ND ST,MONTGOMERY ST,BIKE ROUTE,2006,2W,280.89100414,,,,,,1,0,0,Market St,0.05,50,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,280.89100413
"LINESTRING (-122.400067227803 37.79030385892034, -122.40055526366297 37.79024740468383)",SUTTER,ST,12315000,MARKET ST,SANSOME ST,BIKE ROUTE,2010,2W,142.51411985,,,,,,1,0,0,Sutter St,0.03,17,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,142.514119849
"LINESTRING (-122.40772718647433 37.793178301758225, -122.40790330205246 37.794060297386345)",STOCKTON,ST,12204000,SACRAMENTO ST,CLAY ST,BIKE ROUTE,0,2W,325.16116827,,,,,,1,0,0,Stockton St,0.06,11,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,325.161168267
"LINESTRING (-122.40023937380784 37.794575242330524, -122.4003293328363 37.7950131497684)",BATTERY,ST,2757000,COMMERCIAL ST,CLAY ST,BIKE ROUTE,2010,2W,161.55671738,,,,,,1,0,0,Battery St,0.03,17,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,161.556717373
"LINESTRING (-122.40790330205246 37.794060297386345, -122.40807910115926 37.794940686430806)",STOCKTON,ST,12205000,CLAY ST,WASHINGTON ST,BIKE ROUTE,0,2W,324.56902921,,,,,,1,0,0,Stockton St,0.06,16,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,324.569029201
"LINESTRING (-122.41682715431038 37.788177890541824, -122.4184650267919 37.78796628583373)",SUTTER,ST,12328000,HYDE ST,LARKIN ST,BIKE ROUTE,2010,2W,479.52755362,,,,,,1,0,0,Sutter St,0.09,16,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,479.527553623
"LINESTRING (-122.41518526950568 37.78838793064884, -122.41682715431038 37.788177890541824)",SUTTER,ST,12327000,LEAVENWORTH ST,HYDE ST,BIKE ROUTE,2010,2W,480.57964616,,,,,,1,0,0,Sutter St,0.09,16,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,480.579646149
"LINESTRING (-122.41335396486042 37.78766359875014, -122.41499542310012 37.787453844106864)",POST,ST,10635000,JONES ST,LEAVENWORTH ST,BIKE ROUTE,2010,2W,480.4459828,,,,,,1,0,0,Post St,0.09,16,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,480.445982795
"LINESTRING (-122.4127358473436 37.7877411368184, -122.41335396486042 37.78766359875014)",POST,ST,10634000,OPHIR AL,JONES ST,BIKE ROUTE,2010,2W,180.83623463,,,,,,1,0,0,Post St,0.03,16,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,180.83623463
"LINESTRING (-122.40199747054513 37.78910265036694, -122.40366067699121 37.788894429583564)",POST,ST,10624000,MONTGOMERY ST,KEARNY ST,BIKE ROUTE,2010,2W,486.55518233,,,,,,1,0,0,Post St,0.09,16,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,486.555182336
"LINESTRING (-122.40366067699121 37.788894429583564, -122.40434399122546 37.78880666432801)",POST,ST,10625000,KEARNY ST,ROBERT KIRK LN,BIKE ROUTE,2010,2W,200.02497758,,,,,,1,0,0,Post St,0.04,16,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,200.024977588
"LINESTRING (-122.40434399122546 37.78880666432801, -122.40522117229676 37.78869399205842)",POST,ST,10626000,ROBERT KIRK LN,GRANT AV,BIKE ROUTE,2010,2W,256.77588784,,,,,,1,0,0,Post St,0.05,16,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,256.77588783
